epoch,train_loss,eval_loss,eval_top1,eval_top5
0,5.603768242730035,6.0231625,0.96,4.89
1,4.440675179163615,5.8859375,1.02,5.18
2,3.186616155836317,5.63614375,1.43,6.43
3,2.827679475148519,5.345575,1.92,8.46
4,2.7690945731268988,5.04094375,2.7,11.41
5,2.6746084690093994,4.7265375,4.07,15.29
6,2.5769188139173718,4.404325,6.44,20.77
7,2.658121665318807,4.07631875,10.12,28.31
8,2.5106263955434165,3.74056875,15.35,37.6
9,2.638317664464315,3.398590625,23.04,49.38
10,2.4921720822652182,3.05421875,32.87,61.79
11,2.5904562208387585,2.714753125,44.93,72.77
12,2.521847221586439,2.38726875,57.29,81.89
13,2.555907726287842,2.0806125,67.52,88.52
14,2.678542561001248,1.8002078125,75.47,92.47
15,2.5564871629079184,1.549046875,81.04,94.85
16,2.5498899353875055,1.329515625,84.56,96.42
17,2.555638392766317,1.1425953125,86.4,97.29
18,2.5207514233059354,0.9856625,87.97,97.84
19,2.5135546260409884,0.8570640625,88.97,98.17
20,2.417558749516805,0.75346328125,89.95,98.5
21,2.4377992947896323,0.669475,90.59,98.76
22,2.5416789849599204,0.6010578125,91.05,98.88
23,2.4467749065823026,0.5459734375,91.42,98.99
24,2.3756895065307617,0.5007609375,91.64,99.1
25,2.4439392619662814,0.46489609375,91.92,99.19
26,2.4532913896772595,0.43501953125,92.09,99.26
27,2.508685827255249,0.410413671875,92.19,99.3
28,2.489635467529297,0.390225,92.39,99.31
29,2.4972835646735296,0.37323125,92.44,99.36
30,2.4116059409247503,0.358880078125,92.54,99.42
31,2.4685837162865534,0.346959765625,92.7,99.46
32,2.3165384001202054,0.336875,92.71,99.47
33,2.4255740377638073,0.32844765625,92.71,99.46
34,2.4002869658999972,0.321278125,92.76,99.45
35,2.4275462097591824,0.314995703125,92.8,99.47
36,2.407806317011515,0.309953125,92.91,99.49
37,2.402532418568929,0.30562421875,92.98,99.51
38,2.4551497830284967,0.30197578125,93.06,99.51
39,2.4293878608279758,0.2986171875,93.17,99.51
40,2.4136725531684027,0.296045703125,93.24,99.51
41,2.4232251379224987,0.29378125,93.32,99.52
42,2.2722683482699924,0.2918,93.31,99.52
43,2.397341330846151,0.290190625,93.35,99.52
44,2.406024138132731,0.289073828125,93.39,99.53
45,2.3778079880608454,0.288259765625,93.42,99.53
46,2.4535727500915527,0.28774140625,93.47,99.53
47,2.4934064282311335,0.287232421875,93.56,99.53
48,2.325168079800076,0.287040234375,93.59,99.52
49,2.396822929382324,0.286894140625,93.58,99.55
50,2.3157892756991916,0.287205859375,93.61,99.55
51,2.4792808956570096,0.287432421875,93.63,99.56
52,2.366891860961914,0.287920703125,93.65,99.56
53,2.345345550113254,0.2883359375,93.67,99.56
54,2.303606006834242,0.288706640625,93.66,99.56
55,2.398844109641181,0.28921875,93.68,99.57
56,2.3735866281721325,0.2897921875,93.68,99.57
57,2.4807073805067272,0.2904640625,93.69,99.58
58,2.349070734447903,0.291125,93.76,99.58
59,2.375280910068088,0.292005859375,93.8,99.58
60,2.33055845896403,0.293062109375,93.82,99.57
61,2.4362279574076333,0.29396484375,93.79,99.57
62,2.317348506715563,0.29523125,93.8,99.57
63,2.4144566191567316,0.29618203125,93.8,99.57
64,2.3383621904585095,0.297141796875,93.79,99.56
65,2.4115795029534235,0.298030078125,93.79,99.56
66,2.3216844929589167,0.299159375,93.82,99.57
67,2.318764951494005,0.30013984375,93.77,99.56
68,2.269577423731486,0.30101484375,93.75,99.56
69,2.369996494717068,0.30192890625,93.79,99.55
70,2.3662983311547174,0.303022265625,93.81,99.56
71,2.303777880138821,0.303908984375,93.85,99.56
72,2.255165616671244,0.30502734375,93.82,99.56
73,2.2920398712158203,0.305877734375,93.82,99.56
74,2.310059520933363,0.30675234375,93.87,99.56
75,2.325947019788954,0.307698046875,93.82,99.57
76,2.2926743825276694,0.308682421875,93.82,99.55
77,2.317892154057821,0.3095203125,93.86,99.55
78,2.3864409658643932,0.310484375,93.86,99.55
79,2.2767338487837048,0.311702734375,93.88,99.55
80,2.459476047092014,0.31251640625,93.89,99.55
81,2.3905074066585965,0.313465234375,93.87,99.55
82,2.380774630440606,0.314390625,93.88,99.54
83,2.191994031270345,0.31534296875,93.91,99.54
84,2.316111962000529,0.31621796875,93.9,99.54
85,2.307388676537408,0.31720625,93.89,99.54
86,2.27423980500963,0.318103125,93.9,99.54
87,2.3265264564090304,0.31895,93.91,99.54
88,2.265656683180067,0.31984140625,93.94,99.54
89,2.3482420444488525,0.320740625,93.97,99.54
90,2.3093814849853516,0.321472265625,93.97,99.54
91,2.3022206094529896,0.322198046875,93.97,99.54
92,2.3547442489200168,0.3228609375,93.99,99.54
93,2.246518611907959,0.3234953125,93.97,99.54
94,2.3851645787556968,0.324027734375,93.98,99.56
95,2.3422129816479154,0.324636328125,93.93,99.56
96,2.2714282936520047,0.325282421875,93.93,99.56
97,2.374925719367133,0.32581875,93.93,99.55
98,2.3505734867519803,0.326328125,93.94,99.54
99,2.418484025531345,0.326844140625,93.95,99.55
100,2.293912728627523,0.32743125,93.94,99.55
101,2.446575509177314,0.327946875,93.95,99.55
102,2.309349775314331,0.32843125,93.96,99.55
103,2.316555658976237,0.3289484375,93.95,99.55
104,2.3285930156707764,0.329358203125,93.94,99.56
105,2.2936308648851185,0.32980234375,93.93,99.56
106,2.3283233642578125,0.330234765625,93.95,99.57
107,2.3618712955050998,0.33079453125,93.95,99.57
108,2.3460081683264837,0.3311765625,93.95,99.57
109,2.352536598841349,0.33160625,93.96,99.57
